iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1686910.8106446476,tonnes,annual,2023-10-12 17:27:07.609887,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1229058.7461867793,tonnes,annual,2023-10-12 17:27:07.819822,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1306566.9554057654,tonnes,annual,2023-10-12 17:27:08.073035,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1217986.1448697813,tonnes,annual,2023-10-12 17:27:08.32457,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1245667.6481622763,tonnes,annual,2023-10-12 17:27:08.567035,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1378538.863966253,tonnes,annual,2023-10-12 17:27:08.768772,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1441800,tonnes,annual,2023-10-12 17:27:08.96515,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1355400,tonnes,annual,2023-10-12 17:27:09.182494,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1096199.9999999998,tonnes,annual,2023-10-12 17:27:09.419162,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1096200.0000000002,tonnes,annual,2025-09-03 00:00:00,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,1175562.4346835394,tonnes,annual,2025-09-03 00:00:00,2026-03-14 20:46:08.333882
DNK,manufacturing,cement,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,118072.5868366359,tonnes,annual,2025-09-03 00:00:00,2026-03-14 20:46:08.333882
