iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.243228,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.244093,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.245102,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.24605,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.246954,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.248011,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.248932,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.249883,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-10-01 00:00:00,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-10-27 00:00:00,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-10-27 00:00:00,2026-03-14 20:46:08.333882
DNK,mineral-extraction,copper-mining,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-10-27 00:00:00,2026-03-14 20:46:08.333882
