iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1503.287607922778,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,582.5740588995183,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,390.63982488129585,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,736.4328202240996,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,458.19395852763495,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,460.819970349263,tonnes,annual,2025-07-09 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,123.26073,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,122.56548000000001,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,116.74719000000002,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,116.74419000000002,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,105.550319214,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,cropland-fires,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-11-05 00:00:00,2026-03-14 20:46:08.333882
