iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1667386.9700685695,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2080984.942378849,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2278412.275045964,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2630535.4622271066,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,3222674.6105303196,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,3838937.776575696,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4010022.7942193393,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,4346431.416777644,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,4810512.299556229,tonnes,annual,2024-08-20 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,4470784.793895158,tonnes,annual,2025-02-21 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,3977082.070264465,tonnes,annual,2026-01-13 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,domestic-shipping,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,177870.83317024642,tonnes,annual,2025-02-21 00:00:00,2026-03-14 20:46:08.333882
