iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,fluorinated-gases,fluorinated-gases,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,761226.2777769999,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,818776.2774079998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,682175.4502059998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,756681.1642789994,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,578497.3909919998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,550735.8632599998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,472999.2642499998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,399052.23467099975,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,359499.4214869998,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,302749.51472699986,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,302749.51472699986,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,fluorinated-gases,fluorinated-gases,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,25229.126227249988,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
