iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,manufacturing,lime,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,277386.25535447843,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,279492.7130033586,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,290447.2288667761,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,302075.2398487425,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,318869.0782053576,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,298417.57913670875,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,295576.49567910144,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,312173.54087510007,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,290290.2398907721,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,290290.23989077215,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,290290.23989077215,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,lime,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,23887.840619038976,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
