iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,fossil-fuel-operations,oil-and-gas-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,590762.6243391737,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,533420.2608295258,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,512873.84859000164,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,431690.97824799875,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,379066.9759294431,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,240780.45034119167,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,221492.9187433254,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,221234.21771586203,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,206130.6206056893,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,277900.9637509993,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,277900.9637509993,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
DNK,fossil-fuel-operations,oil-and-gas-transport,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,24177.383846336943,tonnes,annual,2025-06-10 00:00:00,2026-03-14 20:46:08.333882
