iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,agriculture,other-agricultural-soil-emissions,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2894783.998270745,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2866649.2364212484,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2884384.5078971083,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2877323.4936322933,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2904116.4984686743,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2902315.3984725475,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2839858.136615863,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2836520.231863042,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2833514.064077506,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2833514.064077506,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,2833514.064077506,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,agriculture,other-agricultural-soil-emissions,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,201022.4155090246,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
