iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,manufacturing,other-chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,360079.6368441761,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,336659.5379899658,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,338163.852415719,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,291247.4705611571,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,291120.2731554983,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,291876.88387423987,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,385259.01012225205,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,292382.39945297636,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,281821.74186855706,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,281821.74186855706,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,281821.74186855706,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-chemicals,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,23394.8142058746,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
