iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,manufacturing,other-manufacturing,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,899722.6652111538,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,887800.6680424047,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,949181.8456334752,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,961759.9249793348,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,892709.361878072,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,933947.4811814416,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1052801.451486228,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1049243.6717765722,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1022496.0562687762,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1022496.0562687761,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,1022496.0562687762,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,manufacturing,other-manufacturing,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,83746.56623547843,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
