iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,transportation,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,129769.39367620302,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,143859.36363915447,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,193463.29707698608,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,76174.82999496906,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,38545.627025945556,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,43469.77391187597,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,57524.03360121487,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,34614.19106656398,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,24355.959743559077,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,24672.088028670165,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,24672.088028670165,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,other-transport,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,1974.3492510723092,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
