iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2806.2300000280015,tonnes,annual,2023-10-11 18:24:11.774311,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2806.2300000280025,tonnes,annual,2023-10-11 18:24:11.924194,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2806.230000028002,tonnes,annual,2023-10-11 18:24:12.094071,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2806.230000028002,tonnes,annual,2023-10-11 18:24:12.253235,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2806.230000028002,tonnes,annual,2023-10-11 18:24:12.439441,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2806.2300000280025,tonnes,annual,2023-10-11 18:24:12.625785,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2806.2300000280025,tonnes,annual,2023-10-11 18:24:12.785296,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2806.230000028002,tonnes,annual,2023-10-11 18:24:12.945253,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2806.2300000280025,tonnes,annual,2024-09-25 00:00:00,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2806.230000028002,tonnes,annual,2025-09-02 00:00:00,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,2806.2300000280025,tonnes,annual,2025-09-02 00:00:00,2026-03-14 20:46:08.333882
DNK,manufacturing,pulp-and-paper,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,232.35641820099883,tonnes,annual,2025-09-02 00:00:00,2026-03-14 20:46:08.333882
