iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,274611.46098414593,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,280339.16907042236,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,269802.0760578572,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,247783.188885545,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,247328.80845905005,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,217223.41475640645,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,204056.66116764885,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,198985.97621342057,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,193062.8933457892,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,196144.42168807716,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,196144.42168807716,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
DNK,transportation,railways,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,15705.958794613285,tonnes,annual,2026-03-09 01:49:45.670085,2026-03-14 20:46:08.333882
