iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6195577.428159601,tonnes,annual,2023-10-03 21:10:31.077491,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-11365845.164096003,tonnes,annual,2023-10-03 21:10:31.223586,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2421387.0254007,tonnes,annual,2023-10-03 21:10:31.376202,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-4504350.8422273,tonnes,annual,2023-10-03 21:10:31.538281,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-2465087.8804051005,tonnes,annual,2023-10-03 21:10:31.695784,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2299851.2824369003,tonnes,annual,2023-10-03 21:10:31.839616,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,-5178967.743924401,tonnes,annual,2023-10-03 21:10:32.025465,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,818283.9116322,tonnes,annual,2023-10-03 21:10:32.204137,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-1309878.0263666995,tonnes,annual,2024-09-20 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-09-20 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-09-20 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,removals,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-09-20 00:00:00,2026-03-14 20:46:08.333882
