iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.209311,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.365659,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.538455,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.696088,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.850205,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:37.004531,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:37.237799,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:37.414612,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-09-19 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-06-06 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-06-06 00:00:00,2026-03-14 20:46:08.333882
DNK,agriculture,rice-cultivation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-06-06 00:00:00,2026-03-14 20:46:08.333882
