iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,11444776.62115962,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,11636787.227286853,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,11597345.87831306,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,11881993.194699828,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,11675898.221936276,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,10859578.821947435,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,11153636.406092823,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,10744263.31863317,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,10673479.403969336,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,10667568.400611851,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,10650154.227203699,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
DNK,transportation,road-transportation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,917542.3087402286,tonnes,annual,2026-03-02 00:00:00,2026-03-14 20:46:08.333882
