iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,11507.324687599992,tonnes,annual,2023-10-03 21:10:31.448391,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,16092.56430149999,tonnes,annual,2023-10-03 21:10:31.611411,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,7404.127673999995,tonnes,annual,2023-10-03 21:10:31.771771,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,46448.98840199998,tonnes,annual,2023-10-03 21:10:31.936405,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,21515.54316999999,tonnes,annual,2023-10-03 21:10:32.119891,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,21753.506246999998,tonnes,annual,2023-10-03 21:10:32.271365,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4230.1171073000005,tonnes,annual,2023-10-03 21:10:32.431646,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,10170.9142,tonnes,annual,2023-10-03 21:10:32.583962,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2024-09-20 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-03-05 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2026-02-13 00:00:00,2026-03-14 20:46:08.333882
DNK,forestry-and-land-use,shrubgrass-fires,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2025-06-02 00:00:00,2026-03-14 20:46:08.333882
