iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1586041.0902790285,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1710704.1937674063,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1783951.1129523602,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1943460.6800742184,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2194415.1405101162,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2191024.870077186,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2236910.030059437,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2283756.1320809345,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2383717.637353473,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2386561.37177746,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,2389408.49872804,tonnes,annual,2025-12-02 00:00:00,2026-03-14 20:46:08.333882
DNK,waste,solid-waste-disposal,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,199354.91852103657,tonnes,annual,2026-02-02 00:00:00,2026-03-14 20:46:08.333882
